                Quarterly Data

             Nominal    Real
              GDP       GDP    Population
 Quarter      (Y)       (X)      (POP)
           
 1996.2    8032.80  10998.30   269.251
 1996.3    8131.40  11097.00   270.128
 1996.4    8259.80  11212.20   270.991
 1997.1    8362.70  11284.60   271.709
 1997.2    8518.80  11472.10   272.487
 1997.3    8662.80  11615.60   273.391
 1997.4    8765.90  11715.40   274.246
 1998.1    8866.50  11832.50   274.950
 1998.2    8969.70  11942.00   275.703
 1998.3    9121.10  12091.60   276.564
 1998.4    9294.00  12287.00   277.400
 1999.1    9417.30  12403.30   278.103
 1999.2    9524.20  12498.70   278.864
 1999.3    9681.90  12662.40   279.751
 1999.4    9899.40  12877.60   280.592
 2000.1   10002.90  12924.20   281.304
 2000.2   10247.70  13160.80   282.002
 2000.3   10319.80  13178.40   282.769
 2000.4   10439.00  13260.50   283.518
 2001.1   10472.90  13222.70   284.169
 2001.2   10597.80  13300.00   284.838
 2001.3   10596.30  13244.80   285.584
 2001.4   10660.30  13280.90   286.311
 2002.1   10789.00  13397.00   286.935
 2002.2   10893.20  13478.20   287.574
 2002.3   10992.10  13538.10   288.303
 2002.4   11071.50  13559.00   289.007
 2003.1   11183.50  13634.30   289.609
 2003.2   11312.90  13751.50   290.253
 2003.3   11567.30  13985.10   290.974
 2003.4   11769.30  14145.60   291.669
 2004.1   11920.20  14221.10   292.237
 2004.2   12109.00  14329.50   292.875
 2004.3   12303.30  14465.00   293.603
 2004.4   12522.40  14609.90   294.334
 2005.1   12761.30  14771.60   294.957
 2005.2   12910.00  14839.80   295.588
 2005.3   13142.90  14972.10   296.340
 2005.4   13332.30  15066.60   297.086
 2006.1   13603.90  15267.00   297.736
 2006.2   13749.80  15302.70   298.408
 2006.3   13867.50  15326.40   299.180
 2006.4   14037.20  15456.90   299.946
 2007.1   14208.60  15493.30   300.609
 2007.2   14382.40  15582.10   301.284
 2007.3   14535.00  15666.70   302.062
 2007.4   14681.50  15762.00   302.829
 2008.1   14651.00  15671.40   303.494
 2008.2   14805.60  15752.30   304.160
 2008.3   14835.20  15667.00   304.902
 2008.4   14559.50  15328.00   305.616
 2009.1   14394.50  15155.90   306.237
 2009.2   14352.90  15134.10   306.866
 2009.3   14420.30  15189.20   307.573
 2009.4   14628.00  15356.10   308.285
 2010.1   14721.40  15415.10   308.901
 2010.2   14926.10  15557.30   309.468
 2010.3   15079.90  15672.00   310.088
 2010.4   15240.80  15750.60   310.718
 2011.1   15285.80  15712.80   311.237
 2011.2   15496.20  15825.10   311.763
 2011.3   15591.90  15820.70   312.389
 2011.4   15796.50  16004.10   313.002
 2012.1   16019.80  16129.40   313.520
 2012.2   16152.30  16198.80   314.041
 2012.3   16257.20  16220.70   314.660
 2012.4   16358.90  16239.10   315.277
 2013.1   16569.60  16383.00   315.750
 2013.2   16637.90  16403.20   316.251
 2013.3   16848.70  16531.70   316.877
 2013.4   17083.10  16663.60   317.515
 2014.1   17102.90  16621.70   318.051
 2014.2   17425.80  16830.10   318.599
 2014.3   17719.80  17033.60   319.253
 2014.4   17838.50  17113.90   319.910
 2015.1   17970.40  17254.70   320.431
 2015.2   18221.30  17397.00   320.972
 2015.3   18331.10  17438.80   321.620
 2015.4   18354.40  17456.20   322.268
 2016.1   18409.10  17523.40   322.793
 2016.2   18640.70  17622.50   323.326
 2016.3   18799.60  17706.70   323.962
 2016.4   18979.20  17784.20   324.593
 2017.1   19162.60  17863.00   325.108
 2017.2   19359.10  17995.20   325.640
 2017.3   19588.10  18120.80   326.276
 2017.4   19831.80  18223.80   326.907
 2018.1   20041.00  18324.00   327.423
 2018.2   20411.90  18511.60   327.955
 2018.3   20659.00  18671.50   328.590

Notes: Y is in billions of dollars
       X is in billions of chained (2012) dollars
       POP is in millions
