year,y_votes_percent,fair_p_1,def_mt_2,def_mt_1,gdp_mt_2,gdp_mt_1,fair_g_1,z_4,z_3,z_2,z_1,z_mt_2,z_mt_1,incumbent,former_president_again,former_party_morethan_2,sudden_vice,lag_vice,house_midterm,avg_inc_mt_2,avg_inc_mt_1,unemp_rn,satias,gdp_mt_1_pw2,avg_inc_mt_1_pw2,def_mt_1_pw2,gdp_mt_2_pw2,avg_inc_mt_2_pw2,def_mt_2_pw2,fair_z_1,was_a_vice,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,state,y_hat_fr,y_hat_ds
1996,59.352825,8.7303305,3.6652739,4.8859725,8.7728491,8.8919477,4.4956579,1,1,1,0,1,1,1,1,0,0,0,-1,9.5731497,8.0301743,5.1999998,0,79.066734,64.483696,23.872726,76.962883,91.645195,13.434233,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ARKANSAS,50.086269,48.349186
2000,47.19931,-23.094053,3.5754101,-25.748837,6.2680025,98.372765,.84890121,0,1,0,1,1,1,1,0,1,1,0,-1,7.4170122,8.9937305,4.0999999,-1,9677.2012,80.887192,663.00256,39.287857,55.01207,12.783558,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ARKANSAS,40.934631,41.972488
2004,45.064251,-9.5911036,-5.0328636,-4.3398223,-9.4492226,-3.4257724,-4.940043,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,1,-11.326422,-6.6941748,-5.5,-1,11.735917,44.811977,18.834057,89.287804,128.28783,25.329716,-3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ARKANSAS,40.655418,44.520149
2008,39.828278,-11.751461,-5.8747811,-5.5505948,1.7740083,-6.6123681,.99399567,0,0,0,-1,0,-1,-1,0,-1,0,0,1,-9.0792446,-9.4534168,-5.4000001,0,43.723412,89.367088,30.809103,3.1471055,82.432686,34.513054,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ARKANSAS,46.333027,50.222607
2012,37.845596,6.8497834,4.1143403,2.6273453,2.6784463,-.82084543,.51847219,0,0,0,0,0,0,1,1,0,0,0,-1,12.871134,.18881941,7.1999998,-1,.67378724,.035652768,6.9029436,7.1740746,165.66609,16.927795,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ARKANSAS,46.512474,44.53363
2016,35.714863,5.6333394,1.6269102,3.9422917,.95189935,2.9886048,.39794928,0,0,0,0,0,0,1,0,1,0,0,-1,5.3557568,5.7947607,4,-1,8.9317589,33.57925,15.541664,.90611237,28.68413,2.6468368,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ARKANSAS,43.785061,42.016705
2020,35.787567,-7.6858387,-3.5936971,-3.9501841,.85744399,-2.7832916,1.5818013,0,0,0,0,0,0,-1,-1,0,0,1,-1,-8.7211714,-6.694499,-6.5,1,7.7467122,44.816319,15.603954,.73521018,76.05883,12.914659,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ARKANSAS,45.232597,43.665779
1984,41.775467,-27.168417,-9.4276085,-16.21237,-11.894212,-3.3215463,-8.0285892,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,1,-15.239614,-15.470908,-7.5999999,-1,11.03267,239.349,262.84094,141.47227,232.24585,88.879799,-3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CALIFORNIA,49.262676,46.69368
1988,48.192688,-13.803381,-6.317461,-7.041101,-12.180755,-9.0998936,-5.6621056,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,1,-11.468046,-10.651148,-5.3000002,-1,82.80806,113.44695,49.577103,148.37079,131.51608,39.910313,-4,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CALIFORNIA,54.063564,52.79882
1992,58.516727,-14.372634,-6.0769243,-7.820466,1.5971696,-6.8174319,.16585822,0,0,0,-1,0,-1,-1,-1,-1.25,0,0,1,-5.552711,-9.5893908,-9.6000004,0,46.477379,91.956413,61.159691,2.5509508,30.8326,36.929008,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CALIFORNIA,62.743084,61.453735
1996,57.216267,8.8447552,3.5252273,5.1383882,8.1258917,1.4745227,4.0081043,1,1,0,0,1,0,1,1,0,0,0,-1,9.8850765,3.9818325,7.0999999,0,2.1742172,15.85499,26.403032,66.030113,97.714737,12.427228,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CALIFORNIA,61.714157,59.4562
2000,56.202991,-18.826696,2.3961835,-20.726242,15.485588,99.52153,7.7409668,1,1,1,1,1,1,1,0,1,1,0,1,14.842568,12.272306,4.9000001,1,9904.5352,150.60951,429.57712,239.80344,220.30183,5.7416954,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CALIFORNIA,57.804207,58.19088
